Main Artist,Genres,Followers,Random Song,Lyrics
maroon 5,pop,41996696,She Will Be Loved - Radio Mix,"Beauty queen of only eighteenShe had some trouble with herselfHe was always there to help herShe always belonged to someone elseI drove for miles and milesAnd wound up at your doorI've had you so many timesBut somehow, I want moreI don't mind spending every dayOut on your corner in the pouring rainLook for the girl with the broken smileAsk her if she wants to stay a whileAnd she will be lovedAnd she will be lovedTap on my window, knock on my door, IWant to make you feel beautifulI know I tend to get so insecureDoesn't matter anymore"
romeo santos,pop,41041260,Eres Mía,"Ya me han informado que tu novio es un insípido aburridoTú que eres fogata y él tan fríoDice tu amiguita que es celoso, no quiere que sea tu amigoSospecha que soy un pirata y robaré su florNo te asombres si una nocheEntro a tu cuarto y nuevamente te hago míaBien conoces mis erroresEl egoísmo ha de ser dueño de tu vidaEres mía, mía, míaNo te hagas la loca, eso muy bien ya lo sabíasSi tú te casasEl día de tu boda, le digo a tu esposo con risasQue solo es prestada la mujer que amaPorque sigues siendo mía You won't forget RomeoAh-ahGostoso"
twice,pop,39436589,The Feels,"Boy, I, boy, I, boy, I knowI know you get the feels Boy, I, boy, I, boy, I knowUh, I'm so curious’Bout ya boy, wanna keep it coolBut I know everytime you moveGot me frozen, IGet so shy, it's obviousCatching feels like butterfliesIf I say what's on my mindWould I hit bullseye?Shoot! I’m ready, aim and fireBaby, I Feel like Cupid's aliveAli-i-ive tonightYeah, tonightIf your heart beats the same wayLet me know'Cause I'm boom-boom-boomFrom head to toe and I"
melanie martinez,pop,38852604,Mad Hatter,"My friends don't walk, they runSkinny dip in rabbit holes for funPoppin', poppin' balloons with gunsGetting  high off heliumWe paint white roses redEach shade from a different person's headThis dream, dream is a killerGetting drunk with the blue caterpillarI'm peeling the skin off my face'Cause I really hate being safeThe normals, they make me afraidThe crazies, they make me feel saneI'm nuts, baby, I'm madThe craziest friend that you've ever hadYou think I'm psycho, you think I'm goneTell the psychiatrist something is wrongOver the bend, entirely bonkersYou like me best when I'm off my rockerTell you a secret, I'm not alarmedSo what if I'm crazy? The best people areAll the best people are crazyAll the best people are"
ozuna,pop,38192380,Diles,"Prende otro phillie, bebé, que ya mismo este se apaga Vamos para el cuarto polvo, ya esto es una saga Dice que le gusta hacerlo con mis temas de trap Y si te preguntan por qué pa'l sexo yo soy tu favDiles que yo me sé tus pose' favoritasQue te hablo malo y que eso te excitaQue te hago todo lo que necesitas pa' hacerte venirY dile'que yo me sé tus pose' favorita'Que te hablo malo y que eso te excitaQue te hago todo lo que necesita' pa' hacerte venirDile que soy el baby , tu novio viste de Old NavyYo sí tengo flow, él no tiene flowYo a ti te martillo y te doy dembow Por la noche, cuando él se vaTú me llamas con la necesidadPorque te gusta cómo te doyTranquila, ma', que por ahí voy yaUh-uh-uh-uhQuiero hacerte cosita' que nunca te han hecho Esta noche conmigo tú tocas el techo Uh-uh-uh-uhCuando te pelean y estás en despecho Me llamas y yo adentro te la echo "
marshmello,pop,35223255,Silence,"Yeah, I'd rather be a lover than a fighter'Cause all my life, I've been fightingNever felt a feeling of comfort, ohAnd all this time, I've been hidingAnd I never had someone to call my own, oh nahI'm so used to sharingLove only left me aloneBut I'm at one with the silenceI found peace in your violenceCan't tell me there's no point in tryingI'm at one and I've been quiet for too longI found peace in your violenceCan't tell me there's no point in tryingI'm at one and I've been silent for too longI've been quiet for too longI've been quiet for too longI found peace in your violenceCan't tell me there's no point in tryingI'm at one and I've been quiet for too longI'm in need of a savior , but I'm not asking for favorsMy whole life, I've felt like a burdenI think too much, and I hate itI'm so used to being in the wrong, I'm tired of caringLoving never gave me a home, so I'll sit here in the silence"
darshan raval,pop,33949880,Mujhe Peene Do,Raat aayi hai raat aane doNasha hota hai nasha hone doDil jalta hai dil jalne doYaad aayi hai mujhe peene doRaat aati hai raat aane doNasha hota hai nasha hone doDil jalta hai dil jalne doYaad aayi hai mujhe peene doTere haal ne sareaam badnaam kar diya mujheSharaab ka ghulam kar diya mujheNa jee raha hoon na main mar sakaAisa mera hashar hai ban gayaJo pehle maikhana tha woh ghar hai ban gayaKe ab to saaki ne bhi jaam ka hisab na rakhDard hota hai dard hone doZakhm gehra hai ise rehne doAankh roti hai inhein rone doYaad aayi hai mujhe peene doRaat aayi hai raat aane doNasha hota hai nasha hone doDil jalta hai dil jalne doYaad aayi hai mujhe peene do
p!nk,pop,32675657,Try,"Ever wonder about what he's doingHow it all turned to lies?Sometimes I think﻿ that it's betterTo never ask whyWhere there is desire, there is gonna be a flameWhere there is a flame, someone's bound to get burnedBut just because it burns doesn't mean you're gonna dieYou've gotta get up and try, try, tryGotta get up and try, try, tryYou gotta get up and try, try, tryEh, eh, ehFunny how the heart can be deceivingMore than just a couple timesWhy do we fall in love so easy?Even when it's not rightWhere there is desire, there is gonna be a flameWhere there is a flame, someone's bound to get burnedBut just because it burns doesn't mean you're gonna dieYou've gotta get up and try, try, tryGotta get up and try, try, tryYou gotta get up and try, try, try"
khalid,pop,32370319,lovely (with Khalid),"Thought I found a wayThought I found a way out But you never go away So I guess I gotta stay nowOh, I hope some day I'll make it out of hereEven if it takes all night or a hundred yearsNeed a place to hide, but I can't find one nearWanna feel alive, outside I can't fight my fearIsn't it lovely, all alone?Heart made of glass, my mind of stoneTear me to pieces, skin to boneHello, welcome homeWalking out of timeLooking for a better place Something's on my mindAlways in my head spaceBut I know someday I'll make it out of hereEven if it takes all night or a hundred yearsNeed a place to hide, but I can't find one nearWanna feel alive, outside I can't fight my fear"
katy perry,pop,30972097,Firework,"Do you ever feel like a plastic bagDrifting through the wind, wanting to start again?Do you ever feel, feel so paper-thinLike a house of cards, one blow from cavin' in?Do you ever feel already buried deep?Six feet under screams, but no one seems to hear a thingDo you know that there's still a chance for you?'Cause there's a spark in youYou just gotta ignite the lightAnd let it shineJust own the nightLike the Fourth of July'Cause baby, you're a fireworkCome on show 'em what you're worthMake 'em go, ""Awe, awe, awe""As you shoot across the sky-y-yBaby, you're a fireworkCome on, let your colors burstMake 'em go, ""Awe, awe, awe""You're gonna leave 'em all in awe, awe, awe"
the neighbourhood,pop,30558835,Reflections,"Where have you been?Do you know when you're coming back?'Cause since you've been goneI've got along but I've been sadI tried to put it out for you to getCould've, should've but you never didWish you wanted it a little bitMore but it's a chore for you to giveWhere have you been?Do you know if you're coming back?We were too close to the starsI never knew somebody like you, somebodyFalling just as hardI'd rather lose somebody than use somebodyMaybe it's a blessing in disguise I see my reflection in your eyesI know you're sickHoping you fix whatever's brokenIgnorant blissAnd a few sips might be the potion"
harry styles,pop,30523224,Late Night Talking,"Things haven't been quite the sameThere's a haze on the horizon, babeIt's only been a couple of days and I miss you, mmm, yeahWhen nothing really goes to planYou stub your toe or break your cameraI'll do everything I can to help you throughIf you're feeling down, I just wanna make you happier, babyWish I was around, I just wanna make you happier, babyWe've been doin' all this late-night talkin''Bout anything you want until the morningNow you're in my lifeI can't get you off my mindI've never been a fan of changeBut I'd follow you to any placeIf it's Hollywood or Bishopsgate, I'm coming, tooIf you're feeling down, I just wanna make you happier, babyWish I was around, I just wanna make you happiеr, baby"
tulus,pop,28691507,Langit Abu-Abu,"Tak mungkin secepat itu kau lupaAir mata sedihmu kala ituMengungkapkan semua kekurangannyaSemua dariku yang tak dia punyaDaya pikat yang memang engkau punyaSungguh-sungguh ingin aku lindungiDan setelah luka-lukamu redaKau lupa aku juga punya rasaLalu kau pergi kembali dengannyaAku pernah menyentuhmu apa kau maluDi bawah basah langit abu-abuKau di mana?Di lengangnya malam menuju mingguKau di mana?Kadang dering masih ada namamuBeberapa pesan singkat untukkuEntah apa maksudmu, yang kutahuSayangimu aku telah keliru"
doja cat,pop,27692820,Need to Know,"YeahWanna know what it's like Baby, show me what it's like I don't really got no type I just wanna fuck all nightYeah-yeah, oh-woah-woah Baby, I need to know, mmm I just been fantasizin' And we got a lotta time Baby, come throw the pipe Gotta know what it's like Yeah-yeah, oh-woah-woahBaby, I need to know, mmmWhat's your size? Add, subtract, divide Daddy don't throw no curves Hold up, I'm goin' wide We could just start at ten Then we can go to five I don't play with my pen I mean what I writеYeah-yeah, woah-woah-woahI just can't help but bе sexual Tell me your schedule I got a lotta new tricks for you, babyJust sayin' I'm flexible I do what I can to get you off Might just fuck him with my makeup on Eat it like I need an apron on Eat it 'til I need to change my thong We could do it to your favorite song Take a ride into the danger zoneYou know my nigga be buggin' meI just be wonderin' if you can fuck on me betterItchin' for me like an ugly sweaterNeed it in me like a Chuck E. need cheddarI need to know"
